name	x	y	z	type	material
Fp1	-32	77	19	cup	Ag/AgCl
Fp2	32	77	19	cup	Ag/AgCl
F3	-52	35	57	cup	Ag/AgCl
F4	52	35	57	cup	Ag/AgCl
C3	-69	-29	69	cup	Ag/AgCl
C4	69	-29	69	cup	Ag/AgCl
P3	-54	-92	44	cup	Ag/AgCl
P4	54	-92	44	cup	Ag/AgCl
O1	-31	-116	-7	cup	Ag/AgCl
O2	31	-116	-7	cup	Ag/AgCl
F7	-72	32	5	cup	Ag/AgCl
F8	72	32	5	cup	Ag/AgCl
T3	-83	-21	-4	cup	Ag/AgCl
T4	83	-21	-4	cup	Ag/AgCl
T5	-73	-74	-8	cup	Ag/AgCl
T6	73	-74	-8	cup	Ag/AgCl
FZ	0	37	84	cup	Ag/AgCl
CZ	0	-34	105	cup	Ag/AgCl
PZ	0	-98	66	cup	Ag/AgCl
Pg1	n/a	n/a	n/a	n/a	n/a
Pg2	n/a	n/a	n/a	n/a	n/a
ECG	n/a	n/a	n/a	n/a	n/a
